tier,show_id,season_id,season_status,source_status,canonical_source_url,raw_receipt_count,candidate_count,canonical_episode_count,manual_review_count,qc_status
3,CSQC,CSQC_2025,completed,configured,https://www.youtube.com/playlist?list=PLCgARQSDdGSz-rFWvFVciI3bvFFHhaD82,4,0,0,0,FAIL
3,DTGT,DTGT_2025,completed,configured,https://www.youtube.com/playlist?list=PLy_TpcUT2LZtKjiN00baVxhHVN1HthDiQ,2,13,12,0,FAIL
3,TD1K2,TD1K2_2025,completed,configured,https://www.youtube.com/playlist?list=PLy_TpcUT2LZuLuV_ZdXi-Q84PGwjQ2GR3,2,14,12,0,PASS
3,BTST,BTST_2024,completed,configured,https://www.youtube.com/playlist?list=PLC_d5n_vB0CrecgNHLjt6kxEMlZDeBqp5,2,37,0,0,FAIL
3,HTRR,HTRR_2023,completed,configured,https://www.youtube.com/playlist?list=PLy_TpcUT2LZtT4YxNqO277e2zk-7oUS_6,2,32,21,0,FAIL
3,VQLG,VQLG_2025,completed,configured,https://www.youtube.com/playlist?list=PLaHmC9pxzevpEDOuWCKZPWyWhLNCgZFLy,2,80,15,0,PASS
3,BOMD,BOMD_S1,completed,missing,,0,0,0,0,NOT_EXTRACTED
3,BOMD,BOMD_S2,completed,missing,,0,0,0,0,NOT_EXTRACTED
3,BOMD,BOMD_S3,completed,missing,,0,0,0,0,NOT_EXTRACTED
3,BOMD,BOMD_S4,completed,missing,,0,0,0,0,NOT_EXTRACTED
3,BOMD,BOMD_S5,completed,configured,https://www.youtube.com/playlist?list=PLLg_kRqp4Dpq0Gd1snNkyj5FF7hFIpGku,2,15,15,0,PASS
3,BDSS,BDSS_2024,completed,configured,https://www.youtube.com/playlist?list=PLJSRfYQoW3dn5wLuH9xgrMbaazxZdZBZ_,2,30,12,0,FAIL
3,LCHC,LCHC_2023,completed,configured,https://www.youtube.com/playlist?list=PLJSRfYQoW3dmvVTD69QV9X8wpEgxGFfca,2,30,6,0,FAIL
4,MVNBLST,MVNBLST_S1,completed,missing,,0,0,0,0,NOT_EXTRACTED
4,MVNBLST,MVNBLST_S2,completed,missing,,0,0,0,0,NOT_EXTRACTED
4,MVNBLST,MVNBLST_S3,completed,missing,,0,0,0,0,NOT_EXTRACTED
4,MVNBLST,MVNBLST_S4,completed,missing,,0,0,0,0,NOT_EXTRACTED
4,MVNBLST,MVNBLST_S5,completed,missing,,0,0,0,0,NOT_EXTRACTED
4,MAGDV,MAGDV_CONTINUOUS,airing,configured,https://www.youtube.com/playlist?list=PLDNVHSVr-vVkKKgcJr--k4Dtplx8TwHmW,2,195,175,11,FAIL
4,ATCDN,ATCDN_2026,completed,configured,https://www.youtube.com/playlist?list=PLy_TpcUT2LZvcJAmF_eYxx195KpRGmzrB,2,12,12,0,PASS
4,XHTDRLX,XHTDRLX_S1,completed,configured,https://www.youtube.com/playlist?list=PLxNMBnO9F8FNxpfidsVyxNffOg_VhLOOa,2,11,9,2,FAIL
4,XHTDRLX,XHTDRLX_S2,completed,configured,https://www.youtube.com/playlist?list=PLxNMBnO9F8FNbuRLhE0V1dYdSqFfA129g,2,14,10,1,WARNING
4,XHTDRLX,XHTDRLX_S3,completed,configured,https://www.youtube.com/playlist?list=PLxNMBnO9F8FMtG4_3bKxsshIs4cpaii3F,2,18,16,2,FAIL
4,DUM,DUM_S1,completed,missing,,0,0,0,0,NOT_EXTRACTED
4,DUM,DUM_S2,airing,missing,,0,0,0,0,NOT_EXTRACTED
5,SONG,SONG_2018,completed,configured,https://www.youtube.com/playlist?list=PLxKLMN7WdG5BOtJOsSKTjxXWD_LVCYPYd,2,20,0,0,FAIL
5,SONG,SONG_2019,completed,missing,,0,0,0,0,NOT_EXTRACTED
5,SONG,SONG_2020,completed,configured,https://www.youtube.com/playlist?list=PLxKLMN7WdG5DWTxwel5hsaLSOlpzgayQ5,2,3,0,3,FAIL
5,SONG,SONG_2021,completed,missing,,0,0,0,0,NOT_EXTRACTED
5,SONG,SONG_2022,completed,missing,,0,0,0,0,NOT_EXTRACTED
5,SONG,SONG_2023,completed,configured,https://www.youtube.com/playlist?list=PLxKLMN7WdG5Ddu4T4qbzgUbixCkeS_A5y,2,30,0,2,FAIL
5,SONG,SONG_2024,completed,configured,https://www.youtube.com/playlist?list=PLxKLMN7WdG5DgQQKKUMdu2_ZOgfoSMPT7,2,30,0,8,FAIL
5,SONG,SONG_2025,completed,configured,https://www.youtube.com/playlist?list=PLxKLMN7WdG5BIwNQgqYSWciQhg-Jtj8yQ,2,8,0,1,FAIL
5,SONG,SONG_2026,completed,configured,https://www.youtube.com/playlist?list=PLxKLMN7WdG5CjEObleDT2wm09IizUC5I6,2,30,1,9,PASS
